Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A899509,"1930 W RUNDBERG LN
AUSTIN 78758
(30.373936007, -97.717533036)",Yes (come to the shelter),03/05/2024,Cat,Domestic Shorthair,Orange Tabby,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899509
A899625,"2250 RIDGEPOINT DRIVE
AUSTIN 78754
(30.330651985, -97.676262976)",Yes (come to the shelter),03/07/2024,Cat,Domestic Longhair,Brown Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A899625
A899370,"1112 RICHARDINE AVE
AUSTIN 78757
(30.268572006, -97.68618103)",No (contact for more info),03/03/2024,Cat,Domestic Shorthair,Black,Unknown,0 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899370
A899645,"9427 MIDDLE FISKVILLE RD
AUSTIN 78753
(30.358105987, -97.685550962)",Yes (come to the shelter),03/07/2024,Dog,Labrador Retriever,Tan/White,Unknown,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A899645
A899522,"2250 RIDGE POINT DR
AUSTIN 78754
(30.330651985, -97.676262976)",No (contact for more info),03/05/2024,Cat,Domestic Shorthair,Brown Tabby,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A899522
A825625,"EAST ST JOHNS
NORTHBOUND AUSTIN 78752
(30.330272972, -97.698647484)",Yes (come to the shelter),03/05/2024,Dog,American Bulldog Mix,White/Blue,Neutered Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A825625
A899594,"3317 HINT TRCE78660
(30.408736998, -97.60755903)",Yes (come to the shelter),03/06/2024,Cat,Domestic Shorthair,Orange Tabby,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A899594
A896121,"AIRPORT
AUSTIN 78702
(30.281990008, -97.703610024)",No (contact for more info),03/07/2024,Dog,Rhod Ridgeback Mix,Red,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A896121
A899518,"PALO BLANCO LN AUSTIN 78744
(30.1939567, -97.7439501)",Yes (come to the shelter),03/05/2024,Dog,Labrador Retriever,Black/White,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A899518
A899646,"6600 MIDDLE FISKVILLE RD
AUSTIN 78752
(30.328350985, -97.708215042)",Yes (come to the shelter),03/07/2024,Dog,Dachshund Longhair,Black,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899646
